Taxonomy tree with leaf paper metadata:
Leaf rows include paperId, title, year, and stable external ids.
- Demographic Proxies
  - Region
    - 4dcef4d040cdbc17eb8e7e39d1456c2a1ab691a0 | title: SODAPOP: Open-Ended Discovery of Social Biases in Social Commonsense Reasoning Models | year: 2022 | ids: ArXiv=2210.07269; DOI=10.48550/arXiv.2210.07269; DBLP=journals/corr/abs-2210-07269; CorpusId=252907310; ACL=2023.eacl-main.116
    - bbbc59161fcc847d2db3c4e8f285e9bc7429f8be | title: Cross-Cultural Analysis of Human Values, Morals, and Biases in Folk Tales | year: 2023 | ids: DOI=10.18653/v1/2023.emnlp-main.311; DBLP=conf/emnlp/Wu0M23; CorpusId=266164065
  - Race
    - 68174d2f34fff5dbfb1e6d45414608d671c47b51 | title: ”It’s how you do things that matters”: Attending to Process to Better Serve Indigenous Communities with Language Technologies | year: 2024 | ids: ArXiv=2402.02639; DOI=10.48550/arXiv.2402.02639; DBLP=conf/eacl/CooperHH24; CorpusId=267412695; ACL=2024.eacl-short.19
    - 534c58762e69d7afbcb0f6a7e53c07484f6d4891 | title: Towards Measuring the Representation of Subjective Global Opinions in Language Models | year: 2023 | ids: ArXiv=2306.16388; DBLP=journals/corr/abs-2306-16388; CorpusId=259275051
    - 5db0f55332839c408e3049cea1a6ad48fefba70c | title: Aligning Language Models to User Opinions | year: 2023 | ids: ArXiv=2305.14929; DOI=10.48550/arXiv.2305.14929; DBLP=conf/emnlp/HwangMT23; CorpusId=258865429
    - 5bf2343f67ae81610040d3fa07024c13c8591da7 | title: The Ghost in the Machine has an American accent: value conflict in GPT-3 | year: 2022 | ids: ArXiv=2203.07785; DOI=10.48550/arXiv.2203.07785; DBLP=journals/corr/abs-2203-07785; CorpusId=247451091
    - b0ed2c0222d5f69d3af59378d8614d8bf7c4c55f | title: When Do Annotator Demographics Matter? Measuring the Influence of Annotator Demographics with the POPQUORN Dataset | year: 2023 | ids: ArXiv=2306.06826; DOI=10.48550/arXiv.2306.06826; DBLP=journals/corr/abs-2306-06826; CorpusId=259138480; ACL=2023.law-1.25
  - Religion
    - 1d9086a0d98d50812c175baa0911472713e399ab | title: Extracting Cultural Commonsense Knowledge at Scale | year: 2022 | ids: ArXiv=2210.07763; DOI=10.1145/3543507.3583535; DBLP=conf/www/NguyenRVW23; CorpusId=252907608
    - 128904f804d206d2b2a512358df4d4385b7d2712 | title: Social Commonsense for Explanation and Cultural Bias Discovery | year: 2023 | ids: DOI=10.18653/v1/2023.eacl-main.271; DBLP=conf/eacl/BauerTB23; CorpusId=258378215; ACL=2023.eacl-main.271
    - 1669a5929c6706efaec0fe2ddb4a62130bd93cb3 | title: Toward Cultural Bias Evaluation Datasets: The Case of Bengali Gender, Religious, and National Identity | year: 2023 | ids: DOI=10.18653/v1/2023.c3nlp-1.8; CorpusId=258486951; ACL=2023.c3nlp-1.8
    - 534c58762e69d7afbcb0f6a7e53c07484f6d4891 | title: Towards Measuring the Representation of Subjective Global Opinions in Language Models | year: 2023 | ids: ArXiv=2306.16388; DBLP=journals/corr/abs-2306-16388; CorpusId=259275051
    - ddb4d582a5e1e377be8ed220bdbdf8b6fae797d6 | title: DLAMA: A Framework for Curating Culturally Diverse Facts for Probing the Knowledge of Pretrained Language Models | year: 2023 | ids: ArXiv=2306.05076; DOI=10.48550/arXiv.2306.05076; DBLP=journals/corr/abs-2306-05076; CorpusId=259108559
    - 3f421c7defc20c21e97abad5fa92887a06ec5df8 | title: Large Language Models Only Pass Primary School Exams in Indonesia: A Comprehensive Test on IndoMMLU | year: 2023 | ids: ArXiv=2310.04928; DOI=10.48550/arXiv.2310.04928; DBLP=journals/corr/abs-2310-04928; CorpusId=263829211
    - bb9a44c94a89dbe00f0061d05c70a45064ff6ea6 | title: CMMLU: Measuring massive multitask language understanding in Chinese | year: 2023 | ids: ArXiv=2306.09212; DOI=10.48550/arXiv.2306.09212; DBLP=journals/corr/abs-2306-09212; CorpusId=259164635
  - Education
    - b1890367317f0657c08ed96be4c474035b34b485 | title: Investigating Cultural Alignment of Large Language Models | year: 2024 | ids: ArXiv=2402.13231; DOI=10.48550/arXiv.2402.13231; DBLP=conf/acl/AlKhamissiEAD24; CorpusId=267759574
    - 128904f804d206d2b2a512358df4d4385b7d2712 | title: Social Commonsense for Explanation and Cultural Bias Discovery | year: 2023 | ids: DOI=10.18653/v1/2023.eacl-main.271; DBLP=conf/eacl/BauerTB23; CorpusId=258378215; ACL=2023.eacl-main.271
    - ddf5d61e16af06fabdab388604b10dce0b43cb31 | title: Sensitivity, Performance, Robustness: Deconstructing the Effect of Sociodemographic Prompting | year: 2023 | ids: ArXiv=2309.07034; DBLP=conf/eacl/BeckSLG24; CorpusId=261705772; ACL=2024.eacl-long.159
    - 7410e79e85d4548a427117eb3f043f4ad0184f72 | title: CulturalTeaming: AI-Assisted Interactive Red-Teaming for Challenging LLMs' (Lack of) Multicultural Knowledge | year: 2024 | ids: ArXiv=2404.06664; DOI=10.48550/arXiv.2404.06664; DBLP=journals/corr/abs-2404-06664; CorpusId=269032901
    - 5db0f55332839c408e3049cea1a6ad48fefba70c | title: Aligning Language Models to User Opinions | year: 2023 | ids: ArXiv=2305.14929; DOI=10.48550/arXiv.2305.14929; DBLP=conf/emnlp/HwangMT23; CorpusId=258865429
    - 6ee1964f089db48c9750c99ce658fe7f17a33477 | title: CLIcK: A Benchmark Dataset of Cultural and Linguistic Intelligence in Korean | year: 2024 | ids: ArXiv=2403.06412; DOI=10.48550/arXiv.2403.06412; DBLP=journals/corr/abs-2403-06412; CorpusId=268357672; ACL=2024.lrec-main.296
    - 3f421c7defc20c21e97abad5fa92887a06ec5df8 | title: Large Language Models Only Pass Primary School Exams in Indonesia: A Comprehensive Test on IndoMMLU | year: 2023 | ids: ArXiv=2310.04928; DOI=10.48550/arXiv.2310.04928; DBLP=journals/corr/abs-2310-04928; CorpusId=263829211
    - bb9a44c94a89dbe00f0061d05c70a45064ff6ea6 | title: CMMLU: Measuring massive multitask language understanding in Chinese | year: 2023 | ids: ArXiv=2306.09212; DOI=10.48550/arXiv.2306.09212; DBLP=journals/corr/abs-2306-09212; CorpusId=259164635
    - 26d4d6b52405b5b8670ca09728e2763f5c19377a | title: RiSAWOZ: A Large-Scale Multi-Domain Wizard-of-Oz Dataset with Rich Semantic Annotations for Task-Oriented Dialogue Modeling | year: 2020 | ids: ArXiv=2010.08738; DOI=10.18653/v1/2020.emnlp-main.67; DBLP=conf/emnlp/QuanZCLX20; CorpusId=224706438; MAG=3098199128; ACL=2020.emnlp-main.67
    - a66ff335f5934fe7503a99d3eb3abed493994df1 | title: NLPositionality: Characterizing Design Biases of Datasets and Models | year: 2023 | ids: ArXiv=2306.01943; DOI=10.48550/arXiv.2306.01943; DBLP=journals/corr/abs-2306-01943; CorpusId=259076120; ACL=2023.acl-long.505
    - 4017baa6923912fd953c17d3bdd3d29ca8a79f47 | title: KMMLU: Measuring Massive Multitask Language Understanding in Korean | year: 2024 | ids: ArXiv=2402.11548; DOI=10.48550/arXiv.2402.11548; DBLP=journals/corr/abs-2402-11548; CorpusId=267750587
    - bbbc59161fcc847d2db3c4e8f285e9bc7429f8be | title: Cross-Cultural Analysis of Human Values, Morals, and Biases in Folk Tales | year: 2023 | ids: DOI=10.18653/v1/2023.emnlp-main.311; DBLP=conf/emnlp/Wu0M23; CorpusId=266164065
    - 300867919d63378d15df2919a7586fc104631cc0 | title: WorldValuesBench: A Large-Scale Benchmark Dataset for Multi-Cultural Value Awareness of Language Models | year: 2024 | ids: ArXiv=2404.16308; DOI=10.48550/arXiv.2404.16308; DBLP=conf/coling/0001MTDGG24; CorpusId=269362884; ACL=2024.lrec-main.1539
  - Ethnicity
    - 7410e79e85d4548a427117eb3f043f4ad0184f72 | title: CulturalTeaming: AI-Assisted Interactive Red-Teaming for Challenging LLMs' (Lack of) Multicultural Knowledge | year: 2024 | ids: ArXiv=2404.06664; DOI=10.48550/arXiv.2404.06664; DBLP=journals/corr/abs-2404-06664; CorpusId=269032901
    - 68174d2f34fff5dbfb1e6d45414608d671c47b51 | title: ”It’s how you do things that matters”: Attending to Process to Better Serve Indigenous Communities with Language Technologies | year: 2024 | ids: ArXiv=2402.02639; DOI=10.48550/arXiv.2402.02639; DBLP=conf/eacl/CooperHH24; CorpusId=267412695; ACL=2024.eacl-short.19
    - 534c58762e69d7afbcb0f6a7e53c07484f6d4891 | title: Towards Measuring the Representation of Subjective Global Opinions in Language Models | year: 2023 | ids: ArXiv=2306.16388; DBLP=journals/corr/abs-2306-16388; CorpusId=259275051
    - 5bf2343f67ae81610040d3fa07024c13c8591da7 | title: The Ghost in the Machine has an American accent: value conflict in GPT-3 | year: 2022 | ids: ArXiv=2203.07785; DOI=10.48550/arXiv.2203.07785; DBLP=journals/corr/abs-2203-07785; CorpusId=247451091
    - 3f421c7defc20c21e97abad5fa92887a06ec5df8 | title: Large Language Models Only Pass Primary School Exams in Indonesia: A Comprehensive Test on IndoMMLU | year: 2023 | ids: ArXiv=2310.04928; DOI=10.48550/arXiv.2310.04928; DBLP=journals/corr/abs-2310-04928; CorpusId=263829211
    - 953b304d0dd3745861f5fa56fd342a2edbd30710 | title: IndoCulture: Exploring Geographically Influenced Cultural Commonsense Reasoning Across Eleven Indonesian Provinces | year: 2024 | ids: ArXiv=2404.01854; DOI=10.1162/tacl_a_00726; DBLP=journals/corr/abs-2404-01854; CorpusId=268856961
    - a66ff335f5934fe7503a99d3eb3abed493994df1 | title: NLPositionality: Characterizing Design Biases of Datasets and Models | year: 2023 | ids: ArXiv=2306.01943; DOI=10.48550/arXiv.2306.01943; DBLP=journals/corr/abs-2306-01943; CorpusId=259076120; ACL=2023.acl-long.505
    - cf3cfb90a6d8c431dc8a7f115b011d5ffbb439ee | title: Annotators with Attitudes: How Annotator Beliefs And Identities Bias Toxic Language Detection | year: 2021 | ids: ArXiv=2111.07997; DOI=10.18653/v1/2022.naacl-main.431; DBLP=journals/corr/abs-2111-07997; CorpusId=244117167; ACL=2022.naacl-main.431
    - a670b9eeec59421e096056dd7eb48ced1ab83be1 | title: CultureBank: An Online Community-Driven Knowledge Base Towards Culturally Aware Language Technologies | year: 2024 | ids: ArXiv=2404.15238; DOI=10.48550/arXiv.2404.15238; DBLP=conf/emnlp/ShiLZZYHPY24; CorpusId=269303134
    - e76cf464a3a685acab9ad8cabeae05ecc3e5c641 | title: Are Personalized Stochastic Parrots More Dangerous? Evaluating Persona Biases in Dialogue Systems | year: 2023 | ids: ArXiv=2310.05280; DOI=10.48550/arXiv.2310.05280; DBLP=conf/emnlp/WanZCPC23; CorpusId=263830709
- Semantic Proxies
  - Names,
    - 59b3fbf146b29b581b677ec4384f14cee87997a4 | title: Using Large Language Models to Simulate Multiple Humans and Replicate Human Subject Studies | year: 2022 | ids: ArXiv=2208.10264; DBLP=conf/icml/AherAK23; CorpusId=251719353
    - e6588892d18e86537ffadfcb9e987c513b1760e5 | title: A Rose by Any Other Name would not Smell as Sweet: Social Bias in Names Mistranslation | year: 2023 | ids: DOI=10.18653/v1/2023.emnlp-main.239; DBLP=conf/emnlp/SandovalZCD23; CorpusId=266163781
  - Basic Actions and Technology
    - 7ce39cdf7739532040d869e1f749e8e010e7b427 | title: SocialDial: A Benchmark for Socially-Aware Dialogue Systems | year: 2023 | ids: ArXiv=2304.12026; DOI=10.1145/3539618.3591877; DBLP=journals/corr/abs-2304-12026; CorpusId=258298648
    - 8a5e3ae834e2fe724f978d574843470f7c28d18e | title: GD-COMET: A Geo-Diverse Commonsense Inference Model | year: 2023 | ids: ArXiv=2310.15383; DOI=10.48550/arXiv.2310.15383; DBLP=conf/emnlp/BhatiaS23; CorpusId=264439511
    - c7dbe793329c97f30b95448bff68e0ded53cb08a | title: The Echoes of Multilinguality: Tracing Cultural Value Shifts during LM Fine-tuning | year: 2024 | ids: ArXiv=2405.12744; DOI=10.48550/arXiv.2405.12744; DBLP=journals/corr/abs-2405-12744; CorpusId=269930130
    - 534c58762e69d7afbcb0f6a7e53c07484f6d4891 | title: Towards Measuring the Representation of Subjective Global Opinions in Language Models | year: 2023 | ids: ArXiv=2306.16388; DBLP=journals/corr/abs-2306-16388; CorpusId=259275051
    - 733a1313b4d7a13bf05fc810d84145981728d494 | title: Cross-Cultural Transfer Learning for Text Classification | year: 2019 | ids: DOI=10.18653/v1/D19-1400; DBLP=conf/emnlp/RingelLGR19; CorpusId=202785347; MAG=2970819439; ACL=D19-1400
    - ea8b03b1ad74a5dd2d5584e4bdf4e077b004eee6 | title: RENOVI: A Benchmark Towards Remediating Norm Violations in Socio-Cultural Conversations | year: 2024 | ids: ArXiv=2402.11178; DOI=10.48550/arXiv.2402.11178; DBLP=conf/naacl/ZhanLKFHQYCRJSQLZSSH24; CorpusId=267750220
