Taxonomy tree with leaf paper metadata:
Leaf rows include paperId, title, year, and stable external ids.
- Personality in LLMs
  - Self-assessment
    - 81738232a8275b65cba357150a50b1856c6f97fe | title: Eliciting Personality Traits in Large Language Models | year: 2024 | ids: ArXiv=2402.08341; DOI=10.48550/arXiv.2402.08341; DBLP=journals/corr/abs-2402-08341; CorpusId=267637157
    - 97717368b5f7e6a544f0a1c73a441bdcb4b6a046 | title: Do LLMs Possess a Personality? Making the MBTI Test an Amazing Evaluation for Large Language Models | year: 2023 | ids: ArXiv=2307.16180; DOI=10.48550/arXiv.2307.16180; DBLP=journals/corr/abs-2307-16180; CorpusId=260334342
    - 3a0cb7f987c3af8eb72c61a72ceeb15e9a28a1b9 | title: Limited Ability of LLMs to Simulate Human Psychological Behaviours: a Psychometric Analysis | year: 2024 | ids: ArXiv=2405.07248; DOI=10.48550/arXiv.2405.07248; DBLP=journals/corr/abs-2405-07248; CorpusId=269756914
    - 9c39e942b87cbada41a4a52364f996915c7c2d98 | title: Controlling Personality Style in Dialogue with Zero-Shot Prompt-Based Learning | year: 2023 | ids: ArXiv=2302.03848; DOI=10.48550/arXiv.2302.03848; DBLP=journals/corr/abs-2302-03848; CorpusId=256662276
    - 942130a875ccfe55a4c60c27c636f693e25cb13d | title: Personality Traits in Large Language Models | year: 2023 | ids: ArXiv=2307.00184; DOI=10.48550/arXiv.2307.00184; DBLP=journals/corr/abs-2307-00184; CorpusId=259317218
    - db39f628fefafccc0932703377261c1910ad8bdb | title: On the Decision-Making Abilities in Role-Playing using Large Language Models | year: 2024 | ids: ArXiv=2402.18807; DOI=10.48550/arXiv.2402.18807; DBLP=journals/corr/abs-2402-18807; CorpusId=268063458
    - bb9f8e30a4dc9ac3f27883f49a1a369c46d0b847 | title: The Personification of ChatGPT (GPT-4) - Understanding Its Personality and Adaptability | year: 2024 | ids: DOI=10.3390/info15060300; DBLP=journals/information/StockliJLH24; CorpusId=270039025
    - 0e8ec196e908bb3e2b9a709ee9420f1c4d8577af | title: PHAnToM: Persona-based Prompting Has An Effect on Theory-of-Mind Reasoning in Large Language Models | year: 2024 | ids: ArXiv=2403.02246; CorpusId=268248940
    - 972e63aab853267c42b18a125edac531ace3a35f | title: ControlLM: Crafting Diverse Personalities for Language Models | year: 2024 | ids: ArXiv=2402.10151; DOI=10.48550/arXiv.2402.10151; DBLP=journals/corr/abs-2402-10151; CorpusId=267682123
    - 1d65f59e1222b3abb395e9c2aa2ec36a9a69cf64 | title: Academically intelligent LLMs are not necessarily socially intelligent | year: 2024 | ids: ArXiv=2403.06591; DOI=10.48550/arXiv.2403.06591; DBLP=journals/corr/abs-2403-06591; CorpusId=268358577
  - Recognition
    - 919215590b3301f1154deebd1b64722dd3746b8f | title: Can ChatGPT’s Responses Boost Traditional Natural Language Processing? | year: 2023 | ids: ArXiv=2307.04648; DOI=10.1109/MIS.2023.3305861; DBLP=journals/corr/abs-2307-04648; CorpusId=259501845
    - 86b0be627d87dba6ce95f7bc4565f85441fb9e6b | title: LLM vs Small Model? Large Language Model Based Text Augmentation Enhanced Personality Detection Model | year: 2024 | ids: ArXiv=2403.07581; DOI=10.1609/aaai.v38i16.29782; DBLP=journals/corr/abs-2403-07581; CorpusId=268364246
    - 9e2eced81d4a00fdd51236a0dc107a8a86e7122e | title: Affective- NLI: Towards Accurate and Interpretable Personality Recognition in Conversation | year: 2024 | ids: ArXiv=2404.02589; DOI=10.1109/PerCom59722.2024.10494487; DBLP=conf/percom/WenCYYL24; CorpusId=268876442
